Group,Title,New,Sold,Link
rajcata,Quadro,,,https://permaseminka.cz/rajcata/72-quadro.html
listova-zelenina,Sléz kučeravý,,,https://permaseminka.cz/listova-zelenina/71-slez-kuceravy.html
hrach,Norli,,Yes,https://permaseminka.cz/hrach/70-norli.html
rajcata,Indigo Rose,,,https://permaseminka.cz/rajcata/69-indigo-rose.html
bylinky,Třapatka nachová,,Yes,https://permaseminka.cz/bylinky/67-trapatka-nachova.html
rajcata,Stupické polní rané,,,https://permaseminka.cz/rajcata/66-stupicke-polni-rane.html
rajcata,Siberian,,,https://permaseminka.cz/rajcata/65-siberian.html
acokca,Gigantická ačokča,,Yes,https://permaseminka.cz/acokca/64-giganticka-acokca.html
okurky,Gergana,,,https://permaseminka.cz/okurky/63-gergana.html
okurky,Persika,,Yes,https://permaseminka.cz/okurky/62-persika.html
samovysevne,Aurora,,,https://permaseminka.cz/samovysevne/59-aurora.html
cibule,Zébrune,,Yes,https://permaseminka.cz/cibule/57-zebrune-shallot.html
rajcata,Indigo Blue Berries,,,https://permaseminka.cz/rajcata/56-indigo-blue-berries.html
rajcata,Green Tiger,,,https://permaseminka.cz/rajcata/55-green-tiger.html
listova-zelenina,"Šrucha setá, portulák",,,https://permaseminka.cz/listova-zelenina/53-srucha-seta-portulak.html
jedle-trvalky,"Cibule zimní, sečka - Kroll",,,https://permaseminka.cz/jedle-trvalky/52-cibule-secka-kroll.html
jedle-trvalky,"Cibule zimní, sečka - Satschen",,,https://permaseminka.cz/jedle-trvalky/51-cibule-secka-satschen.html
mangold,Mangold listový - Perpetual Spinach,,,https://permaseminka.cz/mangold/50-mangold-perpetual-spinach.html
jedle-trvalky,Kavkazský špenát,,,https://permaseminka.cz/jedle-trvalky/48-kavkazsky-spenat.html
publikace-a-knihy,Nezdolný zahradník,,,https://permaseminka.cz/publikace-a-knihy/47-nezdolny-zahradnik.html
fazole,Bonela,,,https://permaseminka.cz/fazole/45-bonela.html
fazole,Blauhilde,,,https://permaseminka.cz/fazole/44-blauhilde.html
papriky-a-chilli,Jalapeňo,,,https://permaseminka.cz/papriky-a-chilli/43-jalapeno.html
rarity,"Mochyně dužnoplodá, fialová",,,https://permaseminka.cz/rarity/42-mochyne-duznoploda-fialova.html
dyne-a-cukety,Sweet Meat Oregon Homestead,,,https://permaseminka.cz/dyne-a-cukety/41-sweet-meat-oregon-homestead.html
listova-zelenina,Roketa,,,https://permaseminka.cz/listova-zelenina/40-roketa.html
papriky-a-chilli,Alberto's Locoto,,Yes,https://permaseminka.cz/papriky-a-chilli/38-albertos-locotos.html
melouny,Sugar Baby,,,https://permaseminka.cz/melouny/37-sugar-baby.html
papriky-a-chilli,Numex Twilight,,,https://permaseminka.cz/papriky-a-chilli/35-numex-twilight.html
acokca,Ačokča,,,https://permaseminka.cz/acokca/34-acokca.html
mrkev,Cosmic Purple,,Yes,https://permaseminka.cz/mrkev/32-cosmic-purple.html
fazole,Černá želva (Black Turtle),,,https://permaseminka.cz/fazole/31-cena-zelva-black-turtle.html
papriky-a-chilli,Gelbe Kirschen,,,https://permaseminka.cz/papriky-a-chilli/29-gelbe-kirschen.html
rajcata,Divoké havajské (Hawaiian currant),,,https://permaseminka.cz/rajcata/26-divoke-havajske.html
rarity,Liči rajčátko,,,https://permaseminka.cz/rarity/25-lici-rajcatko.html
melouny,Charentais,,Yes,https://permaseminka.cz/melouny/24-charentais.html
rajcata,Mix divokých rajčat,,,https://permaseminka.cz/rajcata/23-mix-divokych-rajcat.html
rajcata,Divoké žluté,,,https://permaseminka.cz/rajcata/22-divoke-zlute.html
bob,Express (Eleonora),,Yes,https://permaseminka.cz/bob/21-eleonora.html
dyne-a-cukety,Costates Romanesco,,Yes,https://permaseminka.cz/dyne-a-cukety/20-costates-romanesco.html
dyne-a-cukety,Red Kuri (hokkaido),,,https://permaseminka.cz/dyne-a-cukety/19-redk-kuri-tykev-velkoploda.html
rajcata,De Berao,,,https://permaseminka.cz/rajcata/18-de-berao-rajce-tyckove.html
rarity,Kiwano,,Yes,https://permaseminka.cz/rarity/17-kiwano.html
rajcata,Black Cherry,,,https://permaseminka.cz/rajcata/16-black-cherry.html
hrach,Golden Sweet,,Yes,https://permaseminka.cz/hrach/15-golden-sweet.html
bylinky,Měsíček - Flashback mix,,,https://permaseminka.cz/bylinky/14-mesicek-flashback-mix.html
okurky,Okurka anguria,,,https://permaseminka.cz/okurky/12-okurka-anguria.html
okurky,Hokus,,Yes,https://permaseminka.cz/okurky/11-hokus.html
okurky,Dekan,,Yes,https://permaseminka.cz/okurky/10-dekan.html
rajcata,Latah,,,https://permaseminka.cz/rajcata/9-latah.html
rajcata,Divoké červené,,,https://permaseminka.cz/rajcata/8-divoke-cervene.html
